name,kind,route_index,distance_m,road_option,carla_x,carla_y,carla_z,carla_yaw,road_id,section_id,lane_id,lane_width,s,is_junction
ROUTE_0132,mission_route_waypoint,132,277.304,STRAIGHT,85.67339324951172,-147.33970642089844,7.656403064727783,272.02410888671875,41,0,1,3.5,34.949999999999996,False
ROUTE_0133,mission_route_waypoint,133,277.304,LANEFOLLOW,85.67339324951172,-147.33970642089844,7.656403064727783,272.02410888671875,41,0,1,3.5,34.949999999999996,False
ROUTE_0134,mission_route_waypoint,134,279.304,LANEFOLLOW,85.74403381347656,-149.3384552001953,7.374879837036133,272.02410888671875,41,0,1,3.5,32.949999999999996,False
ROUTE_0135,mission_route_waypoint,135,281.304,LANEFOLLOW,85.8146743774414,-151.33721923828125,7.0861406326293945,272.02410888671875,41,0,1,3.5,30.95,False
ROUTE_0136,mission_route_waypoint,136,283.309,LANEFOLLOW,85.8838882446289,-153.34042358398438,6.797401428222656,271.8790283203125,41,0,1,3.5,28.950000000000003,False
ROUTE_0137,mission_route_waypoint,137,285.316,LANEFOLLOW,85.94568634033203,-155.3464813232422,6.508662223815918,271.64984130859375,41,0,1,3.5,26.950000000000006,False
ROUTE_0138,mission_route_waypoint,138,287.323,LANEFOLLOW,85.99946594238281,-157.35276794433594,6.219653606414795,271.4206848144531,41,0,1,3.5,24.95000000000001,False
ROUTE_0139,mission_route_waypoint,139,289.33,LANEFOLLOW,86.04518127441406,-159.35923767089844,5.894729137420654,271.1914978027344,41,0,1,3.5,22.950000000000014,False
ROUTE_0140,mission_route_waypoint,140,291.337,LANEFOLLOW,86.08291625976562,-161.36587524414062,5.5088958740234375,270.9623107910156,41,0,1,3.5,20.950000000000017,False
ROUTE_0141,mission_route_waypoint,141,293.344,LANEFOLLOW,86.11261749267578,-163.37266540527344,5.0621538162231445,270.7331237792969,41,0,1,3.5,18.95000000000002,False
ROUTE_0142,mission_route_waypoint,142,295.351,LANEFOLLOW,86.13426971435547,-165.37953186035156,4.554503440856934,270.5039367675781,41,0,1,3.5,16.950000000000024,False
ROUTE_0143,mission_route_waypoint,143,297.358,LANEFOLLOW,86.1479263305664,-167.38648986816406,3.9859445095062256,270.2747802734375,41,0,1,3.5,14.950000000000026,False
ROUTE_0144,mission_route_waypoint,144,299.362,LANEFOLLOW,86.1543960571289,-169.39019775390625,3.3564767837524414,270.153564453125,41,0,1,3.5,12.950000000000028,False
ROUTE_0145,mission_route_waypoint,145,301.362,LANEFOLLOW,86.15975189208984,-171.3901824951172,2.666100263595581,270.153564453125,41,0,1,3.5,10.95000000000003,False
ROUTE_0146,mission_route_waypoint,146,303.362,LANEFOLLOW,86.16511535644531,-173.3901824951172,1.9148151874542236,270.153564453125,41,0,1,3.5,8.950000000000031,False
ROUTE_0147,mission_route_waypoint,147,305.362,LANEFOLLOW,86.17047119140625,-175.39016723632812,1.130366325378418,270.153564453125,41,0,1,3.5,6.950000000000033,False
ROUTE_0148,mission_route_waypoint,148,307.362,LANEFOLLOW,86.17583465576172,-177.39016723632812,0.5124590396881104,270.153564453125,41,0,1,3.5,4.950000000000035,False
ROUTE_0149,mission_route_waypoint,149,309.362,LANEFOLLOW,86.18119812011719,-179.39015197753906,0.10060904175043106,270.153564453125,41,0,1,3.5,2.950000000000037,False
ROUTE_0150,mission_route_waypoint,150,312.312,LANEFOLLOW,86.18910217285156,-182.3401641845703,-0.13075079023838043,270.153564453125,622,0,1,3.5,19.906962442225574,True
ROUTE_0151,mission_route_waypoint,151,312.312,RIGHT,86.18910217285156,-182.3401641845703,-0.13075079023838043,270.153564453125,622,0,1,3.5,19.906962442225574,True
ROUTE_0152,mission_route_waypoint,152,314.312,RIGHT,86.1944580078125,-184.34014892578125,-0.117756687104702,270.153564453125,622,0,1,3.5,17.906962442225577,True
ROUTE_0153,mission_route_waypoint,153,315.988,RIGHT,86.29884338378906,-186.0137481689453,-0.10391110926866531,-79.37850952148438,622,0,1,3.5,15.906962442225579,True
ROUTE_0154,mission_route_waypoint,154,317.533,RIGHT,86.77635192871094,-187.4822998046875,-0.09004514664411545,-64.59684753417969,622,0,1,3.5,13.90696244222558,True
ROUTE_0155,mission_route_waypoint,155,319.077,RIGHT,87.61273956298828,-188.78041076660156,-0.0680176243185997,-49.81520080566406,622,0,1,3.5,11.906962442225582,True
ROUTE_0156,mission_route_waypoint,156,320.633,RIGHT,88.76232147216797,-189.8297119140625,-0.03469514101743698,-35.4351806640625,622,0,1,3.5,9.906962442225584,True
ROUTE_0157,mission_route_waypoint,157,322.326,RIGHT,90.22151184082031,-190.68701171875,-0.006134215742349625,-25.434326171875,622,0,1,3.5,7.906962442225586,True
